sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
6991	random	401	306	1053	307
6992	random	645	511	2722	602
6993	random	1105	806	3767	1144
6994	random	90	68	395	79
6995	random	445	435	1378	671
6996	random	434	266	1314	443
6997	random	541	339	1433	351
6998	random	177	174	723	184
6999	random	872	639	3562	820
7000	random	812	651	2752	767
7001	random	473	399	1459	559
7002	random	826	570	2185	593
7003	random	488	469	1384	666
7004	random	348	306	1161	432
7005	random	319	297	1047	453
7006	random	697	536	2561	659
7007	random	476	355	1592	430
7008	random	387	306	1017	410
7009	random	784	612	3795	860
7010	random	773	545	2632	647
7011	random	602	521	1915	618
7012	random	417	282	1771	382
7013	random	510	359	1993	447
7014	random	414	355	1496	453
7015	random	439	404	1171	581
7016	random	701	546	1818	753
7017	random	396	327	1094	443
7018	random	262	243	1411	286
7019	random	502	379	1613	460
7020	random	433	378	1595	618
7021	random	323	219	749	365
7022	random	464	406	1334	587
7023	random	630	463	1925	723
7024	random	514	394	1613	629
7025	random	809	820	2854	964
7026	random	353	279	1186	417
7027	random	548	455	1544	802
7028	random	802	720	2107	878
7029	random	564	515	1635	641
7030	random	1166	838	3625	1121
7031	random	363	349	759	551
7032	random	547	496	2204	699
7033	random	701	451	2500	580
7034	random	356	378	1212	437
7035	random	294	258	842	333
7036	random	418	341	1563	341
7037	random	906	677	2989	743
7038	random	403	379	1494	631
7039	random	277	229	657	411
7040	random	1041	814	3855	926
7041	random	215	91	454	135
7042	random	902	677	2709	672
7043	random	246	237	1047	263
7044	random	565	462	1536	630
7045	random	840	576	2157	732
7046	random	617	365	2051	585
7047	random	386	183	973	245
7048	random	304	210	831	257
7049	random	670	542	1762	852
7050	random	659	424	2198	645
7051	random	1004	747	3570	1214
7052	random	708	523	2349	823
7053	random	940	772	3433	911
7054	random	823	831	2419	1219
7055	random	270	249	1806	273
7056	random	656	471	1855	534
7057	random	649	581	2482	437
7058	random	421	274	1478	403
7059	random	384	223	1010	350
7060	random	275	219	891	139
7061	random	1046	615	3241	859
7062	random	252	257	509	418
7063	random	725	530	2232	744
7064	random	1230	882	2953	1227
7065	random	358	298	1190	492
7066	random	635	549	1876	553
7067	random	324	149	1127	185
7068	random	604	629	1856	892
7069	random	222	156	651	329
7070	random	582	455	1511	578
7071	random	375	348	908	480
7072	random	535	335	1079	335
7073	random	864	686	3004	812
7074	random	231	188	561	233
7075	random	282	247	1014	413
7076	random	1014	910	3174	1043
7077	random	173	201	828	222
7078	random	1027	981	2823	1264
7079	random	356	306	737	503
7080	random	399	389	1412	367
7081	random	840	655	3321	970
7082	random	848	552	3014	741
7083	random	639	435	1964	550
7084	random	253	118	853	256
7085	random	470	344	1343	680
7086	random	153	187	784	343
7087	random	788	410	2546	712
20648	random	551	563	1899	711
20649	random	691	629	2471	786
20650	random	361	272	920	422
20651	random	780	644	2537	894
20652	random	202	169	535	249
20653	random	665	506	2351	717
20654	random	446	426	1145	458
20655	random	412	477	1358	657
20656	random	216	163	703	251
20657	random	697	666	2553	963
20658	random	638	605	2027	786
20659	random	913	873	2626	1128
20660	random	808	629	1781	803
20661	random	954	786	3175	988
20662	random	799	663	2029	842
20663	random	190	141	661	262
20664	random	649	492	1933	750
20665	random	952	785	2691	1101
20666	random	534	367	1524	359
20667	random	367	236	1141	287
20668	random	304	286	938	424
20669	random	869	758	2517	836
20670	random	522	374	1661	457
20671	random	619	603	2132	724
20672	random	470	294	1669	399
20673	random	842	689	2451	780
20674	random	955	720	3175	1058
20675	random	444	412	1364	370
20676	random	645	487	1908	653
20677	random	687	497	1845	684
20678	random	782	609	2478	884
20679	random	1548	1212	4471	1458
20680	random	277	256	1104	383
20681	random	740	601	2438	764
20682	random	566	450	1930	672
20683	random	516	389	1290	582
20684	random	357	249	1132	256
20685	random	807	571	2437	637
20686	random	405	367	948	479
20687	random	685	499	2356	726
20688	random	668	519	2219	637
20689	random	1257	1037	4240	1173
20690	random	396	306	1039	328
20691	random	551	517	1427	560
20692	random	461	381	1457	611
20693	random	645	524	2137	915
20694	random	359	319	1193	610
20695	random	694	685	1815	707
20696	random	1119	837	3740	1232
20697	random	610	458	1808	516
20698	random	583	427	2049	751
20699	random	602	547	1997	626
20700	random	913	705	2149	906
20701	random	681	532	1812	760
20702	random	956	622	3707	822
20703	random	839	605	2141	679
20704	random	317	331	559	405
20705	random	757	631	2757	902
20706	random	611	419	1644	396
20707	random	595	503	1963	634
20708	random	593	455	1669	549
20709	random	604	543	1761	596
20710	random	631	505	1973	703
20711	random	493	395	1385	475
20712	random	851	754	2257	890
20713	random	246	256	682	265
20714	random	594	534	1905	812
20715	random	672	518	2150	627
20716	random	731	806	2936	873
20717	random	849	684	2710	1054
20718	random	1133	907	3864	1258
20719	random	388	258	1229	563
20720	random	615	418	1754	578
20721	random	570	549	2127	641
20722	random	162	174	556	164
20723	random	477	450	1686	680
20724	random	575	449	269	160
20725	random	627	413	1984	833
20726	random	665	522	2058	732
20727	random	348	297	992	352
20728	random	303	304	1138	372
20729	random	559	398	2076	571
20730	random	395	353	1309	426
